1,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.1
1,2,1,1,1,1,1,1,1,1,1,1,0.25
1,3,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.5
1,4,,,,,,,0.6,0.4,0.3,0.2,1
2,1,,,0.7,0.6,0.5,0.4,0.25,0.15,0.1,0.06,1
2,2,,0.7,0.6,0.5,0.4,0.25,0.15,0.1,0.06,0.04,2
2,3,0.7,0.6,0.5,0.4,0.25,0.15,0.1,0.06,0.04,0.025,6
2,4,,,0.4,0.25,0.15,0.1,0.06,0.04,0.025,0.015,20
3,1,,,,0.3,0.1,0.08,0.05,0.03,0.02,0.012,0.2
3,2,,,,0.25,0.08,0.05,0.03,0.02,0.012,0.008,0.5
3,3,,,,0.1,0.05,0.03,0.02,0.012,0.008,0.005,2
3,4,,,,0.08,0.03,0.02,0.012,0.008,0.005,0.003,8
4,1,,,,0.3,0.1,0.08,0.05,0.03,0.02,0.012,0.4
4,2,,,,0.25,0.08,0.05,0.03,0.02,0.012,0.008,1
4,3,,,,0.1,0.05,0.03,0.02,0.012,0.008,0.005,4
4,4,,,,0.08,0.03,0.02,0.012,0.008,0.005,0.003,16
5,2,0.06,0.06,0.06,0.055,0.05,0.045,0.04,0.03,0.02,0.015,5
5,3,,,,0.045,0.04,0.03,0.02,0.015,0.008,0.005,100
5,4,,,,,,,0.03,0.02,0.012,0.008,400
6,1,,,,,0.4,0.25,0.15,0.1,0.06,0.04,1.5
6,2,,,,0.4,0.25,0.15,0.1,0.06,0.04,0.025,5
6,3,,,,0.25,0.15,0.1,0.06,0.04,0.025,0.015,15
6,4,,,,0.15,0.1,0.06,0.04,0.025,0.015,0.01,50
7,1,,,,,0.4,0.25,0.15,0.1,0.06,0.04,3
7,2,,,,0.4,0.25,0.15,0.1,0.06,0.04,0.025,10
7,3,,,,0.25,0.15,0.1,0.06,0.04,0.025,0.015,30
7,4,,,,0.15,0.1,0.06,0.04,0.025,0.015,0.01,100
